Wavelength (nm),Bright1 (W/m^2/Âµm/sr),Bright2 (W/m^2/Âµm/sr),Dark1 (W/m^2/Âµm/sr)
808.2768,228.3164,195.4074,6.367504
808.3421,229.0474,196.0131,6.375982
808.4074,231.3417,197.9633,6.430081
808.4728,233.0892,199.4433,6.486664
808.5381,233.1655,199.4824,6.50936
808.6035,228.0682,195.0415,6.383305
808.6689,215.627,184.1161,6.030362
808.7344,205.5021,175.1581,5.742834
808.7997,209.0518,178.2705,5.853626
808.8652,220.6662,188.4436,6.160837
808.9306,227.7381,194.5784,6.318575
808.996,228.4124,195.1825,6.333435
809.0615,226.3566,193.4487,6.293185
809.127,223.1355,190.5911,6.197387
809.1924,219.1157,186.8854,6.067603
809.2579,216.6428,184.5115,6.003476
809.3234,217.9267,185.6319,6.06356
809.3889,219.1543,186.9573,6.104808
809.4544,215.6893,184.1005,6.004131
809.5199,209.009,178.2556,5.828117
809.5855,204.5128,174.3343,5.709184
809.651,206.1611,175.7112,5.739587
809.7166,210.9612,179.7002,5.854373
809.7821,211.4278,180.002,5.860785
809.8478,206.4939,175.774,5.717055
809.9133,201.8906,171.8481,5.577484
809.979,200.4672,170.5729,5.524333
810.0445,197.4094,167.7644,5.417099
810.1102,193.4279,164.1151,5.286642
810.1758,199.4213,169.1602,5.433822
810.2415,210.8525,179.0265,5.729529
810.3071,214.621,182.3411,5.833373
810.3728,213.562,181.4879,5.806071
810.4385,212.7736,180.7955,5.788412
810.5041,211.4005,179.5787,5.774142
810.5698,210.577,178.869,5.771801
810.6356,210.1187,178.4856,5.774273
810.7013,209.6017,178.0631,5.781081
810.767,209.9406,178.2221,5.828199
810.8327,208.0483,176.2896,5.82982
810.8985,202.2641,171.0726,5.660614
810.9642,193.9664,163.8321,5.373841
811.03,190.9917,161.2184,5.235583
811.0958,196.1418,165.5216,5.280669
811.1616,195.9555,165.1512,5.209988
811.2274,188.6461,158.7151,5.012931
811.2932,186.1804,156.4489,4.976477
811.359,190.9296,160.3785,5.12914
811.4249,195.2462,164.0323,5.220901
811.4907,190.5279,159.8306,5.07134
811.5566,176.7686,147.9389,4.733048
811.6224,170.3015,142.5063,4.589581
811.6883,180.3816,151.1558,4.859571
811.7542,194.5219,163.3492,5.230301
811.8201,202.8026,170.7232,5.450111
